nama_sayuran,min_mdpl,max_mdpl,min_ukuran,max_ukuran,penjelasan
Bayam,0,500,0.2,0.5,"Bayam adalah tanaman yang mudah tumbuh dan sangat cocok untuk lingkungan Anda karena mampu berkembang hingga 500 mdpl. Dengan ukurannya yang fleksibel, bayam menjadi pilihan tepat untuk kebun kecil maupun lahan yang lebih luas. Untuk menanam bayam, siapkan tanah yang gembur dengan pH netral, tambahkan pupuk organik seperti kompos, dan pastikan area tanam mendapat sinar matahari yang cukup selama 4–6 jam sehari. Jangan lupa untuk menyiram secara teratur agar tanaman tetap subur dan sehat."
Kangkung,0,600,0.3,0.7,"Kangkung adalah tanaman serbaguna yang sangat ideal untuk dataran hingga 600 mdpl. Dengan kemampuan tumbuh cepat dan ukuran yang mudah diatur, kangkung cocok bagi pemula maupun yang sudah berpengalaman dalam berkebun. Untuk menanam kangkung, siapkan media tanam yang lembap atau berair seperti lahan rawa atau pot dengan lubang drainase yang baik. Gunakan benih berkualitas tinggi, dan pastikan Anda menyiramnya setiap hari agar tanah tetap basah dan mendukung pertumbuhan optimal."
Sawi Hijau,200,1500,0.2,0.5,"Sawi hijau merupakan pilihan populer untuk berbagai lingkungan karena dapat tumbuh di dataran rendah hingga 1500 mdpl. Sayuran ini kaya nutrisi dan memiliki ukuran yang pas untuk berbagai kebutuhan ruang tanam. Untuk menanam sawi hijau, gunakan tanah dengan pH netral hingga sedikit asam, tambahkan kompos organik untuk memperkaya nutrisi tanah, dan pilih lokasi yang mendapatkan sinar matahari langsung setidaknya 6 jam sehari. Siram tanaman secara teratur, terutama di pagi hari, untuk menjaga kelembapan tanah."
Brokoli,800,1700,0.4,0.8,"Brokoli adalah tanaman unggulan untuk dataran tinggi dengan ketinggian 800–1700 mdpl, menjadikannya pilihan yang ideal bagi daerah dengan udara sejuk. Brokoli kaya nutrisi dan memberikan hasil panen yang bernilai tinggi. Untuk menanam brokoli, persiapkan tanah subur yang kaya bahan organik, tambahkan pupuk kandang atau kompos, dan pastikan lahan memiliki drainase yang baik. Pilih benih brokoli berkualitas, tanam di tempat yang terkena sinar matahari penuh, dan lakukan penyiraman secara rutin untuk mendukung pertumbuhan optimal."
Wortel,1000,2000,0.2,0.4,"Wortel sangat cocok untuk dataran tinggi dengan suhu dingin, menjadikannya ideal untuk lingkungan Anda. Tanaman ini membutuhkan tanah yang gembur dan berpasir agar akar dapat tumbuh panjang dan lurus. Untuk menanam wortel, siapkan lahan dengan tekstur tanah ringan, tambahkan pupuk organik seperti kompos atau pupuk kandang, dan pastikan tanah bebas dari kerikil atau benda keras lainnya. Taburkan benih langsung di tanah, siram secara teratur untuk menjaga kelembapan, dan berikan jarak antar tanaman agar wortel tumbuh dengan optimal."
Kentang,1200,2500,0.3,0.6,"Kentang adalah tanaman umbi-umbian yang sangat cocok untuk dataran tinggi, terutama pada ketinggian 1000–2000 mdpl. Tanaman ini dapat memberikan hasil panen yang melimpah jika ditanam di tanah subur dengan suhu dingin. Untuk menanam kentang, siapkan lahan dengan tekstur tanah gembur, tambahkan pupuk organik untuk memperkaya nutrisi, dan pastikan lokasi memiliki drainase yang baik. Gunakan bibit kentang berkualitas tinggi, tanam di tempat yang mendapatkan sinar matahari langsung, dan pastikan tanaman disiram secara teratur namun tidak terlalu basah untuk mencegah pembusukan."
Cabai,0,1500,0.5,1,"Cabai adalah tanaman serbaguna yang dapat tumbuh baik di dataran rendah maupun tinggi, membuatnya ideal untuk berbagai lingkungan. Tanaman ini sangat produktif dan menghasilkan buah yang bernilai tinggi. Untuk menanam cabai, siapkan tanah yang gembur dan kaya nutrisi, tambahkan pupuk organik seperti kompos, dan pastikan lokasi mendapatkan sinar matahari minimal 6 jam sehari. Gunakan benih berkualitas, lakukan penyiraman teratur, dan berikan penyangga untuk mendukung batang tanaman agar tidak patah saat berbuah lebat."
Tomat,0,1500,0.4,1.2,"Tomat adalah tanaman yang mudah tumbuh dan memberikan hasil panen yang melimpah, cocok untuk lingkungan dataran rendah hingga tinggi. Tanaman ini membutuhkan banyak cahaya dan tanah subur untuk menghasilkan buah yang sehat. Untuk menanam tomat, gunakan tanah gembur yang dicampur dengan pupuk organik, tambahkan sekam bakar untuk meningkatkan aerasi, dan pilih lokasi dengan sinar matahari langsung minimal 6 jam sehari. Pastikan Anda memberikan penyangga atau ajir untuk membantu batang tomat menopang buah yang tumbuh besar."
Kol,800,2000,0.3,0.5,"Kol atau kubis merupakan tanaman dataran tinggi yang ideal untuk ketinggian 800–2000 mdpl. Tanaman ini terkenal dengan bentuk daunnya yang melingkar rapat dan kaya akan nutrisi. Untuk menanam kol, siapkan tanah yang subur dengan pH netral, tambahkan pupuk kandang atau kompos untuk memperkaya nutrisi, dan pilih area tanam yang cukup mendapat sinar matahari. Pastikan Anda menyiram secara teratur, terutama saat musim kemarau, dan lakukan penyiangan untuk menjaga lahan tetap bersih dari gulma."
Buncis,500,1800,1,2.5,"Buncis adalah tanaman yang mudah tumbuh baik di dataran rendah maupun tinggi, membuatnya cocok untuk kebun Anda. Tanaman ini menghasilkan polong yang kaya serat dan nutrisi. Untuk menanam buncis, siapkan tanah gembur yang kaya humus, tambahkan pupuk organik, dan pasang ajir atau lanjaran sebagai penopang tanaman merambat. Pastikan lokasi mendapatkan cukup sinar matahari, dan lakukan penyiraman rutin agar buncis tumbuh subur."
